TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_VOTES,DURATION,NUMBER_OF_SEASONS,MAIN_GENRE,MAIN_PRODUCTION,contentType,description,contentRating,genre,formattedDuration,releasedDate,Hours Viewed,actors,director,creator,audio,subtitle,numberOfSeasons,seasonStartDate
After Life,2019,8.5,124972,28,3,comedy,GB,TVSeries,"Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.",18,TV Dramas,,3/8/19,"8,800,000","Ricky Gervais, Tom Basden, Tony Way, Diane Morgan, Mandeep Dhillon, David Bradley, Ashley Jensen, Kerry Godliman, Penelope Wilton, Jo Hartley, Paul Kaye, Roisin Conaty, Joe Wilkinson, David Earl, Ethan Lawrence, Kath Hughes",,Ricky Gervais,,,3,3/8/19
All of Us Are Dead,2022,7.5,41393,61,1,action,KR,TVSeries,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,18,Horror TV Serials,,1/28/22,"94,600,000","Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee You-mi, Kim Byong-chul, Lee Kyoo-hyung, Jeon Bae-soo",,"Lee JQ, Chun Sung-il, Kim Nam-su",,,1,1/28/22
Altered Carbon,2018,7.9,162018,52,2,scifi,US,TVSeries,"After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",18,TV Shows Based on Books,,2/2/18,"18,100,000","Anthony Mackie, Lela Loren, Simone Missick, Chris Conner, Dina Shihabi, Torben Liebrecht, Renée Elise Goldsberry, Joel Kinnaman, James Purefoy, Martha Higareda, Dichen Lachman, Will Yun Lee, Kristin Lehman, Ato Essandoh, Tamara Taylor, Byron Mann",,Laeta Kalogridis,,,2,2/2/18
Anne with an E,2017,8.7,51001,46,3,drama,CA,TVSeries,"A plucky orphan whose passions run deep finds an unlikely home with a spinster and her soft-spoken bachelor brother. Based on ""Anne of Green Gables.""",13,TV Shows Based on Books,,5/12/17,"30,900,000","Amybeth McNulty, Geraldine James, R.H. Thomson, Corrine Koslo, Dalila Bela, Lucas Jade Zumann, Aymeric Jett Montaz, Dalmar Abuzeid, Cory Gruter-Andrew, Joanna Douglas",,Moira Walley-Beckett,,,3,5/12/17
Arcane,2021,9.1,175412,41,1,action,US,TVSeries,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",16,Fantasy TV Shows,,11/7/21,"15,200,000","Hailee Steinfeld, Katie Leung, Kevin Alejandro, Jason Spisak, Ella Purnell, Toks Olagundoye, JB Blanc, Harry Lloyd, Shohreh Aghdashloo, Mick Wingert, Yuri Lowenthal, Josh Keaton, Mia Sinclair Jenness, Remy Hii",,"Christian Linke, Alex Yee",,,1,11/7/21
Bodyguard,2018,8.1,114446,60,2,war,GB,TVSeries,"After helping thwart a terrorist attack, a war veteran is assigned to protect a politician who was a main proponent of the very conflict he fought in.",16,TV Mysteries,,10/24/18,"52,000,000","Richard Madden, Keeley Hawes, Gina McKee, Sophie Rundle, Vincent Franklin, Pippa Haywood, Paul Ready, Tom Brooke, Nicholas Gleaves, Stuart Bowman",,Jed Mercurio,,,1,10/24/18
BoJack Horseman,2014,8.8,143584,26,6,drama,US,TVSeries,"Meet the most beloved sitcom horse of the '90s, 20 years later. He’s a curmudgeon with a heart of...not quite gold...but something like gold. Copper?",18,Sitcoms,,1/5/16,"13,600,000","Will Arnett, Aaron Paul, Amy Sedaris, Alison Brie, Paul F. Tompkins",,Raphael Bob-Waksberg,,,6,1/5/16
Bordertown,2016,7.6,10371,59,3,drama,FI,TVSeries,A gifted detective takes a job in a small town so he can spend more time with his family. But he's soon drawn into a web of disturbing murder cases.,18,TV Mysteries,,7/15/18,"5,200,000","Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo, Lenita Susi, Laura Malmivaara, Olivia Ainali, Ilkka Villi, Max Bremer, Matti Laine, Jasmin Hamid, Kristiina Halttu",,Miikko Oikkonen,,,3,7/15/18
Call My Agent!,2015,8.3,13331,55,4,comedy,FR,TVSeries,"At a top Paris talent firm, agents scramble to keep their star clients happy -- and their business afloat -- after an unexpected crisis.",16,TV Dramas,,12/20/16,"2,100,000","Camille Cottin, Thibault de Montalembert, Grégory Montel, Liliane Rovère, Assaad Bouab, Fanny Sidney, Laure Calamy, Nicolas Maury, Stéfi Celma, Ophélia Kolb",,Fanny Herrero,,,4,12/20/16
Cowboy Bebop,1998,8.9,112887,25,1,western,JP,TVSeries,"Long on style and perpetually short on cash, bounty hunters Spike, Jet and Faye trawl the solar system looking for jobs. But can they outrun Spike's past?",18,TV Action & Adventure,,11/19/21,"7,200,000","John Cho, Mustafa Shakir, Daniella Pineda, Elena Satine, Alex Hassell, Tamara Tunie, Mason Alexander Park, Geoff Stults, Rachel House",,,,,1,11/19/21
Dark,2017,8.7,354443,56,3,scifi,DE,TVSeries,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.,18,TV Mysteries,,12/1/17,"24,100,000","Louis Hofmann, Oliver Masucci, Jördis Triebel, Maja Schöne, Karoline Eichhorn, Sebastian Rudolph, Anatole Taubman, Mark Waschke, Stephan Kampwirth, Anne Ratte-Polle, Andreas Pietschmann, Lisa Vicari, Michael Mendl, Angela Winkler",,"Baran bo Odar, Jantje Friese",,,3,12/1/17
Dead to Me,2019,8,73110,31,2,drama,US,TVSeries,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.,18,TV Dramas,,5/3/19,"22,100,000","Christina Applegate, Linda Cardellini, James Marsden, Max Jenkins, Sam McCarthy, Luke Roessler, Edward Asner",,Liz Feldman,,,2,5/3/19
Derek,2013,8.1,31976,26,3,drama,GB,TVSeries,Ricky Gervais created and stars in this heartwarming comedy-drama series as a loyal English nursing home care worker who sees only the good in everyone.,18,Sitcoms,,1/1/19,"900,000","Ricky Gervais, Kerry Godliman, Karl Pilkington, David Earl, Kay Noone, Tim Barlow, Arthur Nightingale, Sheila Collings, Margaret Towner, Barry Martin, Prem Modgil, Blanche Williams, Ninette Finch, Brett Goldstein, Ruth Bratt, Holli Dempsey",,Ricky Gervais,,,3,1/1/19
